trial,min_weight_on_accessible,max_blocked,sum_blocked
494,0.196190,0.0000000000,0.0000000000
495,0.192416,0.0000000000,0.0000000000
496,0.197186,0.0000000000,0.0000000000
497,0.196853,0.0000000000,0.0000000000
498,0.197673,0.0000000000,0.0000000000
499,0.197548,0.0000000000,0.0000000000
500,0.196398,0.0000000000,0.0000000000
501,0.199606,0.0000000000,0.0000000000
502,0.195432,0.0000000000,0.0000000000
503,0.194748,0.0000000000,0.0000000000
504,0.197547,0.0000000000,0.0000000000
505,0.198507,0.0000000000,0.0000000000
506,0.196203,0.0000000000,0.0000000000
507,0.198251,0.0000000000,0.0000000000
508,0.195990,0.0000000000,0.0000000000
509,0.197335,0.0000000000,0.0000000000
510,0.194070,0.0000000000,0.0000000000
511,0.197642,0.0000000000,0.0000000000
512,0.197700,0.0000000000,0.0000000000
513,0.196088,0.0000000000,0.0000000000
514,0.198254,0.0000000000,0.0000000000
515,0.199055,0.0000000000,0.0000000000
516,0.197213,0.0000000000,0.0000000000
517,0.196985,0.0000000000,0.0000000000
518,0.197449,0.0000000000,0.0000000000
519,0.194350,0.0000000000,0.0000000000
520,0.198449,0.0000000000,0.0000000000
521,0.198727,0.0000000000,0.0000000000
522,0.196900,0.0000000000,0.0000000000
523,0.196940,0.0000000000,0.0000000000
524,0.196558,0.0000000000,0.0000000000
525,0.194152,0.0000000000,0.0000000000
526,0.197187,0.0000000000,0.0000000000
527,0.197667,0.0000000000,0.0000000000
528,0.196461,0.0000000000,0.0000000000
529,0.196378,0.0000000000,0.0000000000
530,0.196688,0.0000000000,0.0000000000
531,0.197128,0.0000000000,0.0000000000
532,0.194470,0.0000000000,0.0000000000
533,0.195013,0.0000000000,0.0000000000
534,0.196956,0.0000000000,0.0000000000
535,0.197111,0.0000000000,0.0000000000
536,0.197515,0.0000000000,0.0000000000
537,0.193867,0.0000000000,0.0000000000
538,0.192488,0.0000000000,0.0000000000
539,0.197188,0.0000000000,0.0000000000
540,0.197574,0.0000000000,0.0000000000
541,0.198280,0.0000000000,0.0000000000
542,0.196276,0.0000000000,0.0000000000
543,0.198415,0.0000000000,0.0000000000
544,0.198099,0.0000000000,0.0000000000
545,0.193261,0.0000000000,0.0000000000
546,0.197733,0.0000000000,0.0000000000
547,0.197568,0.0000000000,0.0000000000
548,0.197199,0.0000000000,0.0000000000
549,0.196304,0.0000000000,0.0000000000
550,0.198060,0.0000000000,0.0000000000
551,0.198138,0.0000000000,0.0000000000
552,0.199604,0.0000000000,0.0000000000
553,0.194427,0.0000000000,0.0000000000
554,0.192493,0.0000000000,0.0000000000
555,0.196107,0.0000000000,0.0000000000
556,0.196369,0.0000000000,0.0000000000
557,0.196272,0.0000000000,0.0000000000
558,0.196120,0.0000000000,0.0000000000
559,0.194122,0.0000000000,0.0000000000
560,0.198065,0.0000000000,0.0000000000
561,0.196674,0.0000000000,0.0000000000
562,0.196159,0.0000000000,0.0000000000
563,0.194980,0.0000000000,0.0000000000
